    
 E (eV)=   202.000000000000     
       0     -5.51651903E-01      0.00000000E+00
       1      1.37221729E+00      1.37335005E+00
       2      7.56359650E-01      7.56634205E-01
       3      4.38531501E-01      4.38650247E-01
       4      2.57574639E-01      2.57636671E-01
       5      1.52402252E-01      1.52436788E-01
       6      9.08430524E-02      9.08628707E-02
       7      5.45386190E-02      5.45502076E-02
       8      3.29567402E-02      3.29636073E-02
       9      2.00303702E-02      2.00344805E-02
      10      1.22361296E-02      1.22386092E-02
      11      7.50861052E-03      7.51011601E-03
      12      4.62621191E-03      4.62713095E-03
      13      2.86063756E-03      2.86120122E-03
      14      1.77465966E-03      1.77500680E-03
      15      1.10418625E-03      1.10440082E-03
      16      6.88838182E-04      6.88971257E-04
      17      4.30747168E-04      4.30829943E-04
      18      2.69928949E-04      2.69980575E-04
      19      1.69471951E-04      1.69504228E-04
      20      1.06579755E-04      1.06599977E-04
      21      6.71266152E-05      6.71393097E-05
      22      4.23330725E-05      4.23410549E-05
      23      2.67275230E-05      2.67325500E-05
      24      1.68914574E-05      1.68946273E-05
      25      1.06843233E-05      1.06863246E-05
      26      6.76310966E-06      6.76437435E-06
      27      4.28369937E-06      4.28449928E-06
      28      2.71471021E-06      2.71521654E-06
      29      1.72116873E-06      1.72148943E-06
      30      1.09165847E-06      1.09186170E-06
      31      6.92604297E-07      6.92733151E-07
      32      4.39535470E-07      4.39617194E-07
      33      2.78991744E-07      2.79043600E-07
      34      1.77116379E-07      1.77149282E-07
      35      1.12455149E-07      1.12476033E-07
      36      7.14067320E-08      7.14199942E-08
      37      4.53446839E-08      4.53531078E-08
      38      2.87958176E-08      2.88011604E-08
      39      1.82868372E-08      1.82902267E-08
      40      1.16131037E-08      1.16152606E-08
      41      7.37481897E-09      7.37618711E-09
      42      4.68311771E-09      4.68398647E-09
      43      2.97374966E-09      2.97430128E-09
      44      1.88819139E-09      1.88854172E-09
      45      1.19887039E-09      1.19909361E-09
      46      7.61123361E-10      7.61264271E-10
      47      4.83123500E-10      4.83209999E-10

  TOTAL ELASTIC CROSS SECTION = 1.847632E-16 cm**2
               FROM DCS TABLE = 1.847593E-16  (REL. DIF. = 2.08E-05)

  1ST TRANSPORT CROSS SECTION = 4.891205E-17 cm**2
               FROM DCS TABLE = 4.891204E-17  (REL. DIF. = 2.91E-07)

  2ND TRANSPORT CROSS SECTION = 7.442662E-17 cm**2
