

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.42000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -3.20718379E-01      0.00000000E+00
       1      1.45796346E+00      1.45903672E+00
       2      7.40048545E-01      7.40276512E-01
       3      3.88014936E-01      3.88103478E-01
       4      2.05899123E-01      2.05940687E-01
       5      1.10629304E-01      1.10650238E-01
       6      6.01617883E-02      6.01727306E-02
       7      3.30577032E-02      3.30635575E-02
       8      1.83219351E-02      1.83251175E-02
       9      1.02283052E-02      1.02300552E-02
      10      5.74511543E-03      5.74608645E-03
      11      3.24407838E-03      3.24462104E-03
      12      1.84029551E-03      1.84060061E-03
      13      1.04819196E-03      1.04836439E-03
      14      5.99151591E-04      5.99249481E-04
      15      3.43545638E-04      3.43601431E-04
      16      1.97520479E-04      1.97552390E-04
      17      1.13832016E-04      1.13850323E-04
      18      6.57356722E-05      6.57462025E-05
      19      3.80273645E-05      3.80334356E-05
      20      2.20311589E-05      2.20346662E-05
      21      1.27798200E-05      1.27818495E-05
      22      7.42113892E-06      7.42231505E-06
      23      4.31318312E-06      4.31386553E-06
      24      2.50864826E-06      2.50904461E-06
      25      1.45995090E-06      1.46018130E-06
      26      8.50047845E-07      8.50181873E-07
      27      4.95122007E-07      4.95200014E-07
      28      2.88475043E-07      2.88520472E-07
      29      1.68112667E-07      1.68139122E-07
      30      9.79855510E-08      9.80009694E-08
      31      5.71176948E-08      5.71266831E-08
      32      3.32972538E-08      3.33024892E-08
      33      1.94114778E-08      1.94145327E-08
      34      1.13163373E-08      1.13181178E-08
      35      6.59695858E-09      6.59799252E-09
      36      3.84557497E-09      3.84618616E-09
      37      2.24156589E-09      2.24192235E-09
      38      1.30644951E-09      1.30665320E-09
      39      7.61336121E-10      7.61456801E-10
      40      4.43646409E-10      4.43714772E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 4.01130E-16  0.000E+00  1.651E-08  1.133E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 4.01130E-16  2.369E-10  1.651E-08  1.133E-08  2.357E-18  4.496E-18  1.00E-07
  1.250E-04 4.01130E-16  2.962E-10  1.651E-08  1.133E-08  2.946E-18  5.620E-18  1.00E-07
  1.500E-04 4.01130E-16  3.554E-10  1.651E-08  1.133E-08  3.536E-18  6.744E-18  1.00E-07
  1.750E-04 4.01130E-16  4.147E-10  1.651E-08  1.133E-08  4.125E-18  7.868E-18  1.00E-07
  2.000E-04 4.01130E-16  4.739E-10  1.651E-08  1.133E-08  4.714E-18  8.992E-18  1.00E-07
  2.250E-04 4.01130E-16  5.331E-10  1.651E-08  1.133E-08  5.304E-18  1.012E-17  1.00E-07
  2.500E-04 4.01130E-16  5.924E-10  1.651E-08  1.133E-08  5.893E-18  1.124E-17  1.00E-07
  2.750E-04 4.01130E-16  6.516E-10  1.651E-08  1.133E-08  6.482E-18  1.236E-17  1.00E-07
  3.000E-04 4.01130E-16  7.108E-10  1.651E-08  1.133E-08  7.071E-18  1.349E-17  1.00E-07
  3.250E-04 4.01130E-16  7.701E-10  1.651E-08  1.133E-08  7.661E-18  1.461E-17  1.00E-07
  3.500E-04 4.01130E-16  8.293E-10  1.651E-08  1.133E-08  8.250E-18  1.574E-17  1.00E-07
  3.750E-04 4.01130E-16  8.885E-10  1.651E-08  1.133E-08  8.839E-18  1.686E-17  1.00E-07
  4.000E-04 4.01130E-16  9.478E-10  1.651E-08  1.133E-08  9.428E-18  1.798E-17  1.00E-07
  4.250E-04 4.01130E-16  1.007E-09  1.651E-08  1.133E-08  1.002E-17  1.911E-17  1.00E-07
  4.500E-04 4.01130E-16  1.066E-09  1.651E-08  1.133E-08  1.061E-17  2.023E-17  1.00E-07
  4.750E-04 4.01130E-16  1.125E-09  1.651E-08  1.133E-08  1.120E-17  2.136E-17  1.00E-07
  5.000E-04 4.01130E-16  1.185E-09  1.651E-08  1.133E-08  1.179E-17  2.248E-17  1.00E-07
  5.250E-04 4.01130E-16  1.244E-09  1.651E-08  1.133E-08  1.237E-17  2.360E-17  1.00E-07
  5.500E-04 4.01130E-16  1.303E-09  1.651E-08  1.133E-08  1.296E-17  2.473E-17  1.00E-07
  5.750E-04 4.01130E-16  1.362E-09  1.651E-08  1.133E-08  1.355E-17  2.585E-17  1.00E-07
  6.000E-04 4.01130E-16  1.422E-09  1.651E-08  1.133E-08  1.414E-17  2.698E-17  1.00E-07
