

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.50000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -3.56835829E-01      0.00000000E+00
       1      1.44467727E+00      1.44575873E+00
       2      7.43690809E-01      7.43925629E-01
       3      3.96695752E-01      3.96788700E-01
       4      2.14098682E-01      2.14143110E-01
       5      1.16873061E-01      1.16895807E-01
       6      6.45208920E-02      6.45329633E-02
       7      3.59724588E-02      3.59790115E-02
       8      2.02232310E-02      2.02268438E-02
       9      1.14491753E-02      1.14511899E-02
      10      6.52073696E-03      6.52187033E-03
      11      3.73310321E-03      3.73374534E-03
      12      2.14690707E-03      2.14727306E-03
      13      1.23962576E-03      1.23983542E-03
      14      7.18285366E-04      7.18406011E-04
      15      4.17493699E-04      4.17563396E-04
      16      2.43323728E-04      2.43364131E-04
      17      1.42151369E-04      1.42174863E-04
      18      8.32173822E-05      8.32310799E-05
      19      4.88035005E-05      4.88115054E-05
      20      2.86649908E-05      2.86696784E-05
      21      1.68584788E-05      1.68612285E-05
      22      9.92575736E-06      9.92737280E-06
      23      5.84939467E-06      5.85034494E-06
      24      3.44979273E-06      3.45035232E-06
      25      2.03587593E-06      2.03620575E-06
      26      1.20208474E-06      1.20227929E-06
      27      7.10068906E-07      7.10183729E-07
      28      4.19575207E-07      4.19643014E-07
      29      2.47988028E-07      2.48028087E-07
      30      1.46600632E-07      1.46624304E-07
      31      8.66765300E-08      8.66905213E-08
      32      5.12516115E-08      5.12598855E-08
      33      3.03066541E-08      3.03115427E-08
      34      1.79216747E-08      1.79245687E-08
      35      1.05977730E-08      1.05994845E-08
      36      6.26667942E-09      6.26768979E-09
      37      3.70547800E-09      3.70607583E-09
      38      2.19091436E-09      2.19126594E-09
      39      1.29527019E-09      1.29547946E-09
      40      7.65656195E-10      7.65777573E-10
      41      4.52556518E-10      4.52624880E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 4.05058E-16  0.000E+00  1.670E-08  1.124E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 4.05058E-16  2.350E-10  1.670E-08  1.124E-08  2.732E-18  4.690E-18  1.00E-07
  1.250E-04 4.05058E-16  2.938E-10  1.670E-08  1.124E-08  3.415E-18  5.863E-18  1.00E-07
  1.500E-04 4.05058E-16  3.526E-10  1.670E-08  1.124E-08  4.098E-18  7.035E-18  1.00E-07
  1.750E-04 4.05058E-16  4.113E-10  1.670E-08  1.124E-08  4.781E-18  8.208E-18  1.00E-07
  2.000E-04 4.05058E-16  4.701E-10  1.670E-08  1.124E-08  5.464E-18  9.381E-18  1.00E-07
  2.250E-04 4.05058E-16  5.288E-10  1.670E-08  1.124E-08  6.147E-18  1.055E-17  1.00E-07
  2.500E-04 4.05058E-16  5.876E-10  1.670E-08  1.124E-08  6.830E-18  1.173E-17  1.00E-07
  2.750E-04 4.05058E-16  6.464E-10  1.670E-08  1.124E-08  7.513E-18  1.290E-17  1.00E-07
  3.000E-04 4.05058E-16  7.051E-10  1.670E-08  1.124E-08  8.196E-18  1.407E-17  1.00E-07
  3.250E-04 4.05058E-16  7.639E-10  1.670E-08  1.124E-08  8.879E-18  1.524E-17  1.00E-07
  3.500E-04 4.05058E-16  8.226E-10  1.670E-08  1.124E-08  9.562E-18  1.642E-17  1.00E-07
  3.750E-04 4.05058E-16  8.814E-10  1.670E-08  1.124E-08  1.025E-17  1.759E-17  1.00E-07
  4.000E-04 4.05058E-16  9.402E-10  1.670E-08  1.124E-08  1.093E-17  1.876E-17  1.00E-07
  4.250E-04 4.05058E-16  9.989E-10  1.670E-08  1.124E-08  1.161E-17  1.993E-17  1.00E-07
  4.500E-04 4.05058E-16  1.058E-09  1.670E-08  1.124E-08  1.229E-17  2.111E-17  1.00E-07
  4.750E-04 4.05058E-16  1.116E-09  1.670E-08  1.124E-08  1.298E-17  2.228E-17  1.00E-07
  5.000E-04 4.05058E-16  1.175E-09  1.670E-08  1.124E-08  1.366E-17  2.345E-17  1.00E-07
  5.250E-04 4.05058E-16  1.234E-09  1.670E-08  1.124E-08  1.434E-17  2.462E-17  1.00E-07
  5.500E-04 4.05058E-16  1.293E-09  1.670E-08  1.124E-08  1.503E-17  2.580E-17  1.00E-07
  5.750E-04 4.05058E-16  1.351E-09  1.670E-08  1.124E-08  1.571E-17  2.697E-17  1.00E-07
  6.000E-04 4.05058E-16  1.410E-09  1.670E-08  1.124E-08  1.639E-17  2.814E-17  1.00E-07
  6.250E-04 4.05058E-16  1.469E-09  1.670E-08  1.124E-08  1.708E-17  2.931E-17  1.00E-07
  6.500E-04 4.05058E-16  1.528E-09  1.670E-08  1.124E-08  1.776E-17  3.049E-17  1.00E-07
  6.750E-04 4.05058E-16  1.587E-09  1.670E-08  1.124E-08  1.844E-17  3.166E-17  1.00E-07
  7.000E-04 4.05058E-16  1.645E-09  1.670E-08  1.124E-08  1.912E-17  3.283E-17  1.00E-07
  7.250E-04 4.05058E-16  1.704E-09  1.670E-08  1.124E-08  1.981E-17  3.400E-17  1.00E-07
  7.500E-04 4.05058E-16  1.763E-09  1.670E-08  1.124E-08  2.049E-17  3.518E-17  1.00E-07
  7.750E-04 4.05058E-16  1.822E-09  1.670E-08  1.124E-08  2.117E-17  3.635E-17  1.00E-07
  8.000E-04 4.05058E-16  1.880E-09  1.670E-08  1.124E-08  2.186E-17  3.752E-17  1.00E-07
  8.250E-04 4.05058E-16  1.939E-09  1.670E-08  1.124E-08  2.254E-17  3.870E-17  1.00E-07
  8.500E-04 4.05058E-16  1.998E-09  1.670E-08  1.124E-08  2.322E-17  3.987E-17  1.00E-07
  8.750E-04 4.05058E-16  2.057E-09  1.670E-08  1.124E-08  2.391E-17  4.104E-17  1.00E-07
  9.000E-04 4.05058E-16  2.115E-09  1.670E-08  1.124E-08  2.459E-17  4.221E-17  1.00E-07
  9.250E-04 4.05058E-16  2.174E-09  1.670E-08  1.124E-08  2.527E-17  4.339E-17  1.00E-07
  9.500E-04 4.05058E-16  2.233E-09  1.670E-08  1.124E-08  2.595E-17  4.456E-17  1.00E-07
