

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.48000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -2.11736681E-01      0.00000000E+00
       1     -1.56377562E+00     -1.56171237E+00
       2      8.00534284E-01      8.00991724E-01
       3      4.11568172E-01      4.11739563E-01
       4      2.15676476E-01      2.15754132E-01
       5      1.15497629E-01      1.15535942E-01
       6      6.30466716E-02      6.30665195E-02
       7      3.49569199E-02      3.49675324E-02
       8      1.96273928E-02      1.96331935E-02
       9      1.11332800E-02      1.11365023E-02
      10      6.36836037E-03      6.37017291E-03
      11      3.66829066E-03      3.66932039E-03
      12      2.12541625E-03      2.12600602E-03
      13      1.23757624E-03      1.23791632E-03
      14      7.23635377E-04      7.23832586E-04
      15      4.24632452E-04      4.24747362E-04
      16      2.49931485E-04      2.49998714E-04
      17      1.47484893E-04      1.47524361E-04
      18      8.72221943E-05      8.72454338E-05
      19      5.16795395E-05      5.16932575E-05
      20      3.06692373E-05      3.06773522E-05
      21      1.82254681E-05      1.82302773E-05
      22      1.08432591E-05      1.08461136E-05
      23      6.45763496E-06      6.45933152E-06
      24      3.84908793E-06      3.85009742E-06
      25      2.29593923E-06      2.29654048E-06
      26      1.37036599E-06      1.37072441E-06
      27      8.18367827E-07      8.18581630E-07
      28      4.88949618E-07      4.89077241E-07
      29      2.92250816E-07      2.92327031E-07
      30      1.74743045E-07      1.74788585E-07
      31      1.04514559E-07      1.04541777E-07
      32      6.25272071E-08      6.25434835E-08
      33      3.74163419E-08      3.74260744E-08
      34      2.23945201E-08      2.24003449E-08
      35      1.34060151E-08      1.34095012E-08
      36      8.02643698E-09      8.02851917E-09
      37      4.80619785E-09      4.80744670E-09
      38      2.87830112E-09      2.87904795E-09
      39      1.72392853E-09      1.72437568E-09
      40      1.03260788E-09      1.03287505E-09
      41      6.18527438E-10      6.18692066E-10
      42      3.70509992E-10      3.70609745E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.44253E-16  0.000E+00  1.267E-08  9.146E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.44253E-16  3.927E-10  1.267E-08  9.146E-09  2.656E-18  5.701E-18  1.00E-07
  1.250E-04 2.44253E-16  4.908E-10  1.267E-08  9.146E-09  3.320E-18  7.126E-18  1.00E-07
  1.500E-04 2.44253E-16  5.890E-10  1.267E-08  9.146E-09  3.984E-18  8.551E-18  1.00E-07
  1.750E-04 2.44253E-16  6.872E-10  1.267E-08  9.146E-09  4.648E-18  9.977E-18  1.00E-07
  2.000E-04 2.44253E-16  7.853E-10  1.267E-08  9.146E-09  5.312E-18  1.140E-17  1.00E-07
  2.250E-04 2.44253E-16  8.835E-10  1.267E-08  9.146E-09  5.976E-18  1.283E-17  1.00E-07
  2.500E-04 2.44253E-16  9.817E-10  1.267E-08  9.146E-09  6.640E-18  1.425E-17  1.00E-07
  2.750E-04 2.44253E-16  1.080E-09  1.267E-08  9.146E-09  7.304E-18  1.568E-17  1.00E-07
  3.000E-04 2.44253E-16  1.178E-09  1.267E-08  9.146E-09  7.969E-18  1.710E-17  1.00E-07
  3.250E-04 2.44253E-16  1.276E-09  1.267E-08  9.146E-09  8.633E-18  1.853E-17  1.00E-07
  3.500E-04 2.44253E-16  1.374E-09  1.267E-08  9.146E-09  9.297E-18  1.995E-17  1.00E-07
  3.750E-04 2.44253E-16  1.473E-09  1.267E-08  9.146E-09  9.961E-18  2.138E-17  1.00E-07
  4.000E-04 2.44253E-16  1.571E-09  1.267E-08  9.146E-09  1.062E-17  2.280E-17  1.00E-07
  4.250E-04 2.44253E-16  1.669E-09  1.267E-08  9.146E-09  1.129E-17  2.423E-17  1.00E-07
  4.500E-04 2.44253E-16  1.767E-09  1.267E-08  9.146E-09  1.195E-17  2.565E-17  1.00E-07
  4.750E-04 2.44253E-16  1.865E-09  1.267E-08  9.146E-09  1.262E-17  2.708E-17  1.00E-07
  5.000E-04 2.44253E-16  1.963E-09  1.267E-08  9.146E-09  1.328E-17  2.850E-17  1.00E-07
  5.250E-04 2.44253E-16  2.062E-09  1.267E-08  9.146E-09  1.394E-17  2.993E-17  1.00E-07
