

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.94000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -3.26674107E-01      0.00000000E+00
       1      1.53096479E+00      1.53306852E+00
       2      8.11417612E-01      8.11916238E-01
       3      4.40043914E-01      4.40243084E-01
       4      2.42562439E-01      2.42657914E-01
       5      1.36043328E-01      1.36092780E-01
       6      7.75465682E-02      7.75733364E-02
       7      4.48178573E-02      4.48327739E-02
       8      2.62015250E-02      2.62100108E-02
       9      1.54646781E-02      1.54695805E-02
      10      9.20060174E-03      9.20346834E-03
      11      5.51075980E-03      5.51245225E-03
      12      3.31962167E-03      3.32062890E-03
      13      2.00949477E-03      2.01009821E-03
      14      1.22153189E-03      1.22189547E-03
      15      7.45224861E-04      7.45444984E-04
      16      4.56054786E-04      4.56188609E-04
      17      2.79838564E-04      2.79920212E-04
      18      1.72107160E-04      1.72157128E-04
      19      1.06060458E-04      1.06091120E-04
      20      6.54715814E-05      6.54904396E-05
      21      4.04757675E-05      4.04873889E-05
      22      2.50549028E-05      2.50620767E-05
      23      1.55263895E-05      1.55308245E-05
      24      9.63082975E-06      9.63357503E-06
      25      5.97883941E-06      5.98054062E-06
      26      3.71434574E-06      3.71540097E-06
      27      2.30897386E-06      2.30962894E-06
      28      1.43612329E-06      1.43653024E-06
      29      8.93655497E-07      8.93908472E-07
      30      5.56324332E-07      5.56481674E-07
      31      3.46451958E-07      3.46549864E-07
      32      2.15821949E-07      2.15882897E-07
      33      1.34483421E-07      1.34521373E-07
      34      8.38200658E-08      8.38437086E-08
      35      5.22541812E-08      5.22689104E-08
      36      3.25818618E-08      3.25910454E-08
      37      2.03190724E-08      2.03247974E-08
      38      1.26734687E-08      1.26770382E-08
      39      7.90579641E-09      7.90801753E-09
      40      4.93224024E-09      4.93362846E-09
      41      3.07738780E-09      3.07825234E-09
      42      1.92026720E-09      1.92080475E-09
      43      1.19834930E-09      1.19868483E-09
      44      7.47860392E-10      7.48070362E-10
      45      4.66708196E-10      4.66836549E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.52908E-16  0.000E+00  1.316E-08  8.934E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.52908E-16  3.936E-10  1.316E-08  8.934E-09  4.303E-18  6.704E-18  1.00E-07
  1.250E-04 2.52908E-16  4.919E-10  1.316E-08  8.934E-09  5.378E-18  8.381E-18  1.00E-07
  1.500E-04 2.52908E-16  5.903E-10  1.316E-08  8.934E-09  6.454E-18  1.006E-17  1.00E-07
  1.750E-04 2.52908E-16  6.887E-10  1.316E-08  8.934E-09  7.529E-18  1.173E-17  1.00E-07
  2.000E-04 2.52908E-16  7.871E-10  1.316E-08  8.934E-09  8.605E-18  1.341E-17  1.00E-07
  2.250E-04 2.52908E-16  8.855E-10  1.316E-08  8.934E-09  9.681E-18  1.508E-17  1.00E-07
  2.500E-04 2.52908E-16  9.839E-10  1.316E-08  8.934E-09  1.076E-17  1.676E-17  1.00E-07
  2.750E-04 2.52908E-16  1.082E-09  1.316E-08  8.934E-09  1.183E-17  1.844E-17  1.00E-07
  3.000E-04 2.52908E-16  1.181E-09  1.316E-08  8.934E-09  1.291E-17  2.011E-17  1.00E-07
  3.250E-04 2.52908E-16  1.279E-09  1.316E-08  8.934E-09  1.398E-17  2.179E-17  1.00E-07
  3.500E-04 2.52908E-16  1.377E-09  1.316E-08  8.934E-09  1.506E-17  2.347E-17  1.00E-07
  3.750E-04 2.52908E-16  1.476E-09  1.316E-08  8.934E-09  1.613E-17  2.514E-17  1.00E-07
  4.000E-04 2.52908E-16  1.574E-09  1.316E-08  8.934E-09  1.721E-17  2.682E-17  1.00E-07
  4.250E-04 2.52908E-16  1.673E-09  1.316E-08  8.934E-09  1.829E-17  2.849E-17  1.00E-07
  4.500E-04 2.52908E-16  1.771E-09  1.316E-08  8.934E-09  1.936E-17  3.017E-17  1.00E-07
  4.750E-04 2.52908E-16  1.869E-09  1.316E-08  8.934E-09  2.044E-17  3.185E-17  1.00E-07
  5.000E-04 2.52908E-16  1.968E-09  1.316E-08  8.934E-09  2.151E-17  3.352E-17  1.00E-07
  5.250E-04 2.52908E-16  2.066E-09  1.316E-08  8.934E-09  2.259E-17  3.520E-17  1.00E-07
  5.500E-04 2.52908E-16  2.165E-09  1.316E-08  8.934E-09  2.366E-17  3.687E-17  1.00E-07
  5.750E-04 2.52908E-16  2.263E-09  1.316E-08  8.934E-09  2.474E-17  3.855E-17  1.00E-07
  6.000E-04 2.52908E-16  2.361E-09  1.316E-08  8.934E-09  2.582E-17  4.023E-17  1.00E-07
  6.250E-04 2.52908E-16  2.460E-09  1.316E-08  8.934E-09  2.689E-17  4.190E-17  1.00E-07
  6.500E-04 2.52908E-16  2.558E-09  1.316E-08  8.934E-09  2.797E-17  4.358E-17  1.00E-07
  6.750E-04 2.52908E-16  2.656E-09  1.316E-08  8.934E-09  2.904E-17  4.525E-17  1.00E-07
  7.000E-04 2.52908E-16  2.755E-09  1.316E-08  8.934E-09  3.012E-17  4.693E-17  1.00E-07
  7.250E-04 2.52908E-16  2.853E-09  1.316E-08  8.934E-09  3.119E-17  4.861E-17  1.00E-07
  7.500E-04 2.52908E-16  2.952E-09  1.316E-08  8.934E-09  3.227E-17  5.028E-17  1.00E-07
  7.750E-04 2.52908E-16  3.050E-09  1.316E-08  8.934E-09  3.334E-17  5.196E-17  1.00E-07
  8.000E-04 2.52908E-16  3.148E-09  1.316E-08  8.934E-09  3.442E-17  5.364E-17  1.00E-07
  8.250E-04 2.52908E-16  3.247E-09  1.316E-08  8.934E-09  3.550E-17  5.531E-17  1.00E-07
  8.500E-04 2.52908E-16  3.345E-09  1.316E-08  8.934E-09  3.657E-17  5.699E-17  1.00E-07
  8.750E-04 2.52908E-16  3.444E-09  1.316E-08  8.934E-09  3.765E-17  5.866E-17  1.00E-07
  9.000E-04 2.52908E-16  3.542E-09  1.316E-08  8.934E-09  3.872E-17  6.034E-17  1.00E-07
  9.250E-04 2.52908E-16  3.640E-09  1.316E-08  8.934E-09  3.980E-17  6.202E-17  1.00E-07
  9.500E-04 2.52908E-16  3.739E-09  1.316E-08  8.934E-09  4.087E-17  6.369E-17  1.00E-07
  9.750E-04 2.52908E-16  3.837E-09  1.316E-08  8.934E-09  4.195E-17  6.537E-17  1.00E-07
  1.000E-03 2.52908E-16  3.936E-09  1.316E-08  8.934E-09  4.303E-17  6.704E-17  1.00E-07
  1.250E-03 2.52908E-16  4.919E-09  1.316E-08  8.934E-09  5.378E-17  8.381E-17  1.00E-07
  1.500E-03 2.52908E-16  5.903E-09  1.316E-08  8.934E-09  6.454E-17  1.006E-16  1.00E-07
