

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 5.00000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      8.89042173E-01      0.00000000E+00
       1     -1.10694870E+00     -1.10500385E+00
       2      4.66327493E-01      4.66468521E-01
       3      1.12597899E-01      1.12618352E-01
       4      3.16614271E-02      3.16663782E-02
       5      9.48647247E-03      9.48786733E-03
       6      2.93913410E-03      2.93955152E-03
       7      9.30074631E-04      9.30203671E-04
       8      2.98648684E-04      2.98689428E-04
       9      9.69055839E-05      9.69186421E-05
      10      3.16838860E-05      3.16881168E-05
      11      1.04169335E-05      1.04183153E-05
      12      3.43882316E-06      3.43927706E-06
      13      1.13862714E-06      1.13877688E-06
      14      3.77846734E-07      3.77896288E-07
      15      1.25592859E-07      1.25609298E-07
      16      4.17973494E-08      4.18028093E-08
      17      1.39230482E-08      1.39248585E-08
      18      4.64110339E-09      4.64170925E-09
      19      1.54784781E-09      1.54805100E-09
      20      5.16424820E-10      5.16492094E-10
      21      1.72359300E-10      1.72383017E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  4.900E+00 1.73865E-16 -2.524E-07  6.820E-09  1.128E-08 -1.675E-13 -2.804E-13  1.00E-07
  5.000E+00 1.73722E-16 -2.379E-07  6.814E-09  1.128E-08 -1.710E-13 -2.861E-13  1.00E-07
  5.100E+00 1.73576E-16 -2.222E-07  6.807E-09  1.128E-08 -1.744E-13 -2.919E-13  1.00E-07
  5.200E+00 1.73427E-16 -2.053E-07  6.801E-09  1.128E-08 -1.779E-13 -2.976E-13  1.00E-07
  5.300E+00 1.73276E-16 -1.871E-07  6.794E-09  1.127E-08 -1.813E-13 -3.033E-13  1.00E-07
  5.400E+00 1.73122E-16 -1.676E-07  6.787E-09  1.127E-08 -1.848E-13 -3.090E-13  1.00E-07
  5.500E+00 1.72966E-16 -1.469E-07  6.780E-09  1.127E-08 -1.883E-13 -3.148E-13  1.00E-07
  5.600E+00 1.72807E-16 -1.247E-07  6.773E-09  1.127E-08 -1.917E-13 -3.205E-13  1.00E-07
  5.700E+00 1.72645E-16 -1.013E-07  6.766E-09  1.126E-08 -1.952E-13 -3.262E-13  1.00E-07
  5.800E+00 1.72480E-16 -7.640E-08  6.759E-09  1.126E-08 -1.987E-13 -3.319E-13  1.00E-07
  5.900E+00 1.72313E-16 -5.012E-08  6.751E-09  1.126E-08 -2.021E-13 -3.377E-13  1.00E-07
  6.000E+00 1.72143E-16  0.000E+00  6.744E-09  1.125E-08 -2.056E-13 -3.434E-13  1.00E-07
  6.100E+00 1.71971E-16  0.000E+00  6.736E-09  1.125E-08 -2.091E-13 -3.491E-13  1.00E-07
  6.200E+00 1.71795E-16  3.748E-08  6.728E-09  1.125E-08 -2.125E-13 -3.548E-13  1.00E-07
  6.300E+00 1.71618E-16  6.968E-08  6.720E-09  1.125E-08 -2.160E-13 -3.606E-13  1.00E-07
  6.400E+00 1.71438E-16  1.034E-07  6.712E-09  1.124E-08 -2.195E-13 -3.663E-13  1.00E-07
  6.500E+00 1.71255E-16  1.388E-07  6.704E-09  1.124E-08 -2.230E-13 -3.720E-13  1.00E-07
  6.600E+00 1.71069E-16  1.757E-07  6.696E-09  1.124E-08 -2.265E-13 -3.777E-13  1.00E-07
  6.700E+00 1.70881E-16  2.143E-07  6.688E-09  1.123E-08 -2.299E-13 -3.835E-13  1.00E-07
  6.800E+00 1.70691E-16  2.545E-07  6.679E-09  1.123E-08 -2.334E-13 -3.892E-13  1.00E-07
  6.900E+00 1.70498E-16  2.964E-07  6.670E-09  1.123E-08 -2.369E-13 -3.949E-13  1.00E-07
  7.000E+00 1.70302E-16  3.401E-07  6.662E-09  1.122E-08 -2.404E-13 -4.006E-13  1.00E-07
  7.100E+00 1.70104E-16  3.854E-07  6.653E-09  1.122E-08 -2.439E-13 -4.064E-13  1.00E-07
  7.200E+00 1.69904E-16  4.326E-07  6.644E-09  1.121E-08 -2.474E-13 -4.121E-13  1.00E-07
  7.300E+00 1.69701E-16  4.815E-07  6.635E-09  1.121E-08 -2.509E-13 -4.178E-13  1.00E-07
  7.400E+00 1.69495E-16  5.323E-07  6.626E-09  1.121E-08 -2.544E-13 -4.235E-13  1.00E-07
  7.500E+00 1.69287E-16  5.849E-07  6.616E-09  1.120E-08 -2.579E-13 -4.293E-13  1.00E-07
  7.600E+00 1.69077E-16  6.394E-07  6.607E-09  1.120E-08 -2.614E-13 -4.350E-13  1.00E-07
  7.700E+00 1.68864E-16  6.958E-07  6.597E-09  1.120E-08 -2.649E-13 -4.407E-13  1.00E-07
  7.800E+00 1.68649E-16  7.542E-07  6.588E-09  1.119E-08 -2.685E-13 -4.464E-13  1.00E-07
  7.900E+00 1.68431E-16  8.145E-07  6.578E-09  1.119E-08 -2.720E-13 -4.522E-13  1.00E-07
  8.000E+00 1.68211E-16  8.768E-07  6.568E-09  1.118E-08 -2.755E-13 -4.579E-13  1.00E-07
  8.100E+00 1.67989E-16  9.412E-07  6.558E-09  1.118E-08 -2.790E-13 -4.636E-13  1.00E-07
  8.200E+00 1.67764E-16  1.008E-06  6.548E-09  1.118E-08 -2.825E-13 -4.693E-13  1.00E-07
  8.300E+00 1.67537E-16  1.076E-06  6.537E-09  1.117E-08 -2.861E-13 -4.751E-13  1.00E-07
  8.400E+00 1.67308E-16  1.147E-06  6.527E-09  1.117E-08 -2.896E-13 -4.808E-13  1.00E-07
  8.500E+00 1.67076E-16  1.219E-06  6.517E-09  1.116E-08 -2.931E-13 -4.865E-13  1.00E-07
  8.600E+00 1.66842E-16  1.294E-06  6.506E-09  1.116E-08 -2.967E-13 -4.922E-13  1.00E-07
  8.700E+00 1.66606E-16  1.372E-06  6.495E-09  1.115E-08 -3.002E-13 -4.980E-13  1.00E-07
  8.800E+00 1.66367E-16  1.451E-06  6.485E-09  1.115E-08 -3.038E-13 -5.037E-13  1.00E-07
  8.900E+00 1.66126E-16  1.533E-06  6.474E-09  1.115E-08 -3.073E-13 -5.094E-13  1.00E-07
  9.000E+00 1.65883E-16  1.617E-06  6.463E-09  1.114E-08 -3.109E-13 -5.152E-13  1.00E-07
  9.100E+00 1.65638E-16  1.703E-06  6.451E-09  1.114E-08 -3.144E-13 -5.209E-13  1.00E-07
  9.200E+00 1.65391E-16  1.791E-06  6.440E-09  1.113E-08 -3.180E-13 -5.266E-13  1.00E-07
  9.300E+00 1.65141E-16  1.883E-06  6.429E-09  1.113E-08 -3.215E-13 -5.323E-13  1.00E-07
  9.400E+00 1.64889E-16  1.976E-06  6.417E-09  1.112E-08 -3.251E-13 -5.381E-13  1.00E-07
  9.500E+00 1.64635E-16  2.072E-06  6.406E-09  1.112E-08 -3.287E-13 -5.438E-13  1.00E-07
  9.600E+00 1.64379E-16  2.170E-06  6.394E-09  1.111E-08 -3.322E-13 -5.495E-13  1.00E-07
  9.700E+00 1.64120E-16  2.271E-06  6.382E-09  1.111E-08 -3.358E-13 -5.552E-13  1.00E-07
  9.800E+00 1.63860E-16  2.375E-06  6.370E-09  1.110E-08 -3.394E-13 -5.610E-13  1.00E-07
  9.900E+00 1.63597E-16  2.481E-06  6.358E-09  1.110E-08 -3.430E-13 -5.667E-13  1.00E-07
  1.000E+01 1.63333E-16  2.589E-06  6.346E-09  1.109E-08 -3.465E-13 -5.724E-13  1.00E-07
  1.025E+01 1.62662E-16  2.873E-06  6.316E-09  1.108E-08 -3.555E-13 -5.867E-13  1.00E-07
  1.050E+01 1.61979E-16  3.173E-06  6.284E-09  1.107E-08 -3.645E-13 -6.011E-13  1.00E-07
  1.075E+01 1.61283E-16  3.491E-06  6.252E-09  1.105E-08 -3.735E-13 -6.154E-13  1.00E-07
  1.100E+01 1.60575E-16  3.827E-06  6.219E-09  1.104E-08 -3.826E-13 -6.297E-13  1.00E-07
  1.125E+01 1.59856E-16  4.182E-06  6.186E-09  1.103E-08 -3.916E-13 -6.440E-13  1.00E-07
  1.150E+01 1.59124E-16  4.556E-06  6.152E-09  1.101E-08 -4.007E-13 -6.583E-13  1.00E-07
  1.175E+01 1.58381E-16  4.950E-06  6.118E-09  1.100E-08 -4.098E-13 -6.727E-13  1.00E-07
  1.200E+01 1.57627E-16  5.364E-06  6.083E-09  1.098E-08 -4.189E-13 -6.870E-13  1.00E-07
  1.225E+01 1.56863E-16  5.799E-06  6.047E-09  1.097E-08 -4.281E-13 -7.013E-13  1.00E-07
  1.250E+01 1.56087E-16  6.255E-06  6.010E-09  1.095E-08 -4.373E-13 -7.156E-13  1.00E-07
  1.275E+01 1.55302E-16  6.733E-06  5.973E-09  1.094E-08 -4.465E-13 -7.300E-13  1.00E-07
  1.300E+01 1.54506E-16  7.234E-06  5.936E-09  1.092E-08 -4.557E-13 -7.443E-13  1.00E-07
  1.325E+01 1.53701E-16  7.759E-06  5.898E-09  1.090E-08 -4.650E-13 -7.586E-13  1.00E-07
  1.350E+01 1.52886E-16  8.307E-06  5.859E-09  1.089E-08 -4.743E-13 -7.729E-13  1.00E-07
  1.375E+01 1.52062E-16  8.879E-06  5.820E-09  1.087E-08 -4.836E-13 -7.873E-13  1.00E-07
  1.400E+01 1.51229E-16  9.477E-06  5.780E-09  1.085E-08 -4.929E-13 -8.016E-13  1.00E-07
  1.425E+01 1.50388E-16  1.010E-05  5.740E-09  1.084E-08 -5.023E-13 -8.159E-13  1.00E-07
  1.450E+01 1.49538E-16  1.075E-05  5.699E-09  1.082E-08 -5.116E-13 -8.302E-13  1.00E-07
  1.475E+01 1.48680E-16  1.143E-05  5.658E-09  1.080E-08 -5.210E-13 -8.446E-13  1.00E-07
  1.500E+01 1.47815E-16  1.213E-05  5.616E-09  1.078E-08 -5.305E-13 -8.589E-13  1.00E-07
  1.525E+01 1.46941E-16  1.286E-05  5.574E-09  1.076E-08 -5.400E-13 -8.732E-13  1.00E-07
  1.550E+01 1.46061E-16  1.363E-05  5.531E-09  1.075E-08 -5.495E-13 -8.875E-13  1.00E-07
  1.575E+01 1.45174E-16  1.442E-05  5.488E-09  1.073E-08 -5.590E-13 -9.019E-13  1.00E-07
  1.600E+01 1.44280E-16  1.524E-05  5.444E-09  1.071E-08 -5.685E-13 -9.162E-13  1.00E-07
  1.625E+01 1.43380E-16  1.609E-05  5.400E-09  1.069E-08 -5.781E-13 -9.305E-13  1.00E-07
  1.650E+01 1.42474E-16  1.698E-05  5.355E-09  1.067E-08 -5.877E-13 -9.449E-13  1.00E-07
  1.675E+01 1.41562E-16  1.790E-05  5.310E-09  1.065E-08 -5.973E-13 -9.592E-13  1.00E-07
  1.700E+01 1.40645E-16  1.885E-05  5.264E-09  1.063E-08 -6.070E-13 -9.735E-13  1.00E-07
  1.725E+01 1.39722E-16  1.984E-05  5.219E-09  1.061E-08 -6.167E-13 -9.878E-13  1.00E-07
  1.750E+01 1.38794E-16  2.086E-05  5.172E-09  1.059E-08 -6.264E-13 -1.002E-12  1.00E-07
  1.775E+01 1.37862E-16  2.191E-05  5.125E-09  1.056E-08 -6.362E-13 -1.016E-12  1.00E-07
  1.800E+01 1.36925E-16  2.301E-05  5.078E-09  1.054E-08 -6.460E-13 -1.031E-12  1.00E-07
  1.825E+01 1.35985E-16  2.414E-05  5.031E-09  1.052E-08 -6.558E-13 -1.045E-12  1.00E-07
  1.850E+01 1.35040E-16  2.530E-05  4.983E-09  1.050E-08 -6.656E-13 -1.059E-12  1.00E-07
  1.875E+01 1.34092E-16  2.651E-05  4.934E-09  1.048E-08 -6.755E-13 -1.074E-12  1.00E-07
  1.900E+01 1.33140E-16  2.776E-05  4.886E-09  1.045E-08 -6.854E-13 -1.088E-12  1.00E-07
  1.925E+01 1.32185E-16  2.905E-05  4.837E-09  1.043E-08 -6.953E-13 -1.102E-12  1.00E-07
  1.950E+01 1.31228E-16  3.038E-05  4.787E-09  1.041E-08 -7.052E-13 -1.117E-12  1.00E-07
  1.975E+01 1.30268E-16  3.175E-05  4.738E-09  1.038E-08 -7.152E-13 -1.131E-12  1.00E-07
  2.000E+01 1.29306E-16  3.316E-05  4.688E-09  1.036E-08 -7.252E-13 -1.145E-12  1.00E-07
  2.025E+01 1.28341E-16  3.462E-05  4.637E-09  1.034E-08 -7.353E-13 -1.160E-12  1.00E-07
  2.050E+01 1.27375E-16  3.612E-05  4.587E-09  1.031E-08 -7.453E-13 -1.174E-12  1.00E-07
  2.075E+01 1.26408E-16  3.767E-05  4.536E-09  1.029E-08 -7.554E-13 -1.188E-12  1.00E-07
  2.100E+01 1.25439E-16  3.927E-05  4.485E-09  1.026E-08 -7.656E-13 -1.203E-12  1.00E-07
  2.125E+01 1.24469E-16  4.091E-05  4.433E-09  1.024E-08 -7.757E-13 -1.217E-12  1.00E-07
  2.150E+01 1.23498E-16  4.261E-05  4.382E-09  1.021E-08 -7.859E-13 -1.231E-12  1.00E-07
  2.175E+01 1.22526E-16  4.435E-05  4.330E-09  1.019E-08 -7.961E-13 -1.246E-12  1.00E-07
  2.200E+01 1.21555E-16  4.614E-05  4.278E-09  1.016E-08 -8.064E-13 -1.260E-12  1.00E-07
  2.225E+01 1.20583E-16  4.799E-05  4.225E-09  1.014E-08 -8.166E-13 -1.274E-12  1.00E-07
  2.250E+01 1.19611E-16  4.988E-05  4.173E-09  1.011E-08 -8.269E-13 -1.289E-12  1.00E-07
  2.275E+01 1.18639E-16  5.183E-05  4.120E-09  1.008E-08 -8.373E-13 -1.303E-12  1.00E-07
  2.300E+01 1.17668E-16  5.384E-05  4.067E-09  1.006E-08 -8.476E-13 -1.317E-12  1.00E-07
  2.325E+01 1.16698E-16  5.590E-05  4.013E-09  1.003E-08 -8.580E-13 -1.331E-12  1.00E-07
  2.350E+01 1.15729E-16  5.801E-05  3.960E-09  1.000E-08 -8.684E-13 -1.346E-12  1.00E-07
  2.375E+01 1.14761E-16  6.019E-05  3.906E-09  9.975E-09 -8.789E-13 -1.360E-12  1.00E-07
  2.400E+01 1.13794E-16  6.242E-05  3.853E-09  9.947E-09 -8.893E-13 -1.374E-12  1.00E-07
  2.425E+01 1.12828E-16  6.471E-05  3.799E-09  9.920E-09 -8.998E-13 -1.389E-12  1.00E-07
  2.450E+01 1.11865E-16  6.706E-05  3.745E-09  9.892E-09 -9.104E-13 -1.403E-12  1.00E-07
  2.475E+01 1.10903E-16  6.948E-05  3.690E-09  9.863E-09 -9.209E-13 -1.417E-12  1.00E-07
  2.500E+01 1.09944E-16  7.195E-05  3.636E-09  9.835E-09 -9.315E-13 -1.432E-12  1.00E-07
  2.550E+01 1.08032E-16  7.710E-05  3.527E-09  9.777E-09 -9.527E-13 -1.460E-12  1.00E-07
  2.600E+01 1.06130E-16  8.251E-05  3.418E-09  9.718E-09 -9.741E-13 -1.489E-12  1.00E-07
  2.650E+01 1.04241E-16  8.819E-05  3.308E-09  9.659E-09 -9.955E-13 -1.517E-12  1.00E-07
  2.700E+01 1.02364E-16  9.415E-05  3.198E-09  9.599E-09 -1.017E-12 -1.546E-12  1.00E-07
  2.750E+01 1.00502E-16  1.004E-04  3.088E-09  9.538E-09 -1.039E-12 -1.574E-12  1.00E-07
  2.800E+01 9.86553E-17  1.070E-04  2.978E-09  9.476E-09 -1.060E-12 -1.603E-12  1.00E-07
  2.850E+01 9.68249E-17  1.138E-04  2.867E-09  9.413E-09 -1.082E-12 -1.631E-12  1.00E-07
  2.900E+01 9.50120E-17  1.210E-04  2.757E-09  9.349E-09 -1.104E-12 -1.660E-12  1.00E-07
  2.950E+01 9.32175E-17  1.285E-04  2.647E-09  9.285E-09 -1.126E-12 -1.688E-12  1.00E-07
  3.000E+01 9.14422E-17  1.363E-04  2.537E-09  9.220E-09 -1.148E-12 -1.717E-12  1.00E-07
  3.050E+01 8.96868E-17  1.445E-04  2.427E-09  9.154E-09 -1.171E-12 -1.745E-12  1.00E-07
  3.100E+01 8.79522E-17  1.530E-04  2.318E-09  9.087E-09 -1.193E-12 -1.773E-12  1.00E-07
  3.150E+01 8.62390E-17  1.619E-04  2.208E-09  9.020E-09 -1.215E-12 -1.802E-12  1.00E-07
  3.200E+01 8.45477E-17  1.712E-04  2.100E-09  8.952E-09 -1.238E-12 -1.830E-12  1.00E-07
  3.250E+01 8.28789E-17  1.808E-04  1.991E-09  8.883E-09 -1.260E-12 -1.858E-12  1.00E-07
  3.300E+01 8.12332E-17  1.908E-04  1.883E-09  8.814E-09 -1.283E-12 -1.887E-12  1.00E-07
  3.350E+01 7.96108E-17  2.013E-04  1.776E-09  8.744E-09 -1.305E-12 -1.915E-12  1.00E-07
  3.400E+01 7.80122E-17  2.121E-04  1.670E-09  8.673E-09 -1.328E-12 -1.943E-12  1.00E-07
  3.450E+01 7.64376E-17  2.233E-04  1.564E-09  8.602E-09 -1.351E-12 -1.971E-12  1.00E-07
  3.500E+01 7.48874E-17  2.350E-04  1.459E-09  8.530E-09 -1.373E-12 -2.000E-12  1.00E-07
  3.550E+01 7.33618E-17  2.471E-04  1.354E-09  8.457E-09 -1.396E-12 -2.028E-12  1.00E-07
  3.600E+01 7.18609E-17  2.596E-04  1.251E-09  8.384E-09 -1.419E-12 -2.056E-12  1.00E-07
  3.650E+01 7.03847E-17  2.726E-04  1.148E-09  8.311E-09 -1.442E-12 -2.084E-12  1.00E-07
  3.700E+01 6.89335E-17  2.860E-04  1.046E-09  8.236E-09 -1.465E-12 -2.112E-12  1.00E-07
  3.750E+01 6.75072E-17  2.999E-04  9.454E-10  8.162E-09 -1.488E-12 -2.140E-12  1.00E-07
  3.800E+01 6.61057E-17  3.142E-04  8.456E-10  8.086E-09 -1.511E-12 -2.168E-12  1.00E-07
  3.850E+01 6.47291E-17  3.290E-04  7.469E-10  8.011E-09 -1.534E-12 -2.196E-12  1.00E-07
  3.900E+01 6.33773E-17  3.443E-04  6.494E-10  7.934E-09 -1.557E-12 -2.223E-12  1.00E-07
  3.950E+01 6.20501E-17  3.601E-04  5.529E-10  7.858E-09 -1.580E-12 -2.251E-12  1.00E-07
  4.000E+01 6.07474E-17  3.764E-04  4.576E-10  7.781E-09 -1.603E-12 -2.279E-12  1.00E-07
  4.050E+01 5.94689E-17  3.931E-04  3.636E-10  7.703E-09 -1.626E-12 -2.307E-12  1.00E-07
  4.100E+01 5.82145E-17  4.104E-04  2.708E-10  7.625E-09 -1.650E-12 -2.334E-12  1.00E-07
  4.150E+01 5.69840E-17  4.282E-04  1.793E-10  7.547E-09 -1.673E-12 -2.362E-12  1.00E-07
  4.200E+01 5.57770E-17  4.464E-04  8.908E-11  7.468E-09 -1.696E-12 -2.389E-12  1.00E-07
  4.250E+01 5.45933E-17  4.652E-04  2.346E-13  7.389E-09 -1.719E-12 -2.417E-12  1.00E-07
  4.300E+01 5.34325E-17  4.845E-04 -8.724E-11  7.309E-09 -1.742E-12 -2.444E-12  1.00E-07
  4.350E+01 5.22943E-17  5.044E-04 -1.733E-10  7.229E-09 -1.765E-12 -2.471E-12  1.00E-07
  4.400E+01 5.11785E-17  5.247E-04 -2.579E-10  7.149E-09 -1.788E-12 -2.498E-12  1.00E-07
  4.450E+01 5.00845E-17  5.456E-04 -3.411E-10  7.069E-09 -1.811E-12 -2.526E-12  1.00E-07
  4.500E+01 4.90121E-17  5.670E-04 -4.228E-10  6.988E-09 -1.834E-12 -2.553E-12  1.00E-07
  4.550E+01 4.79608E-17  5.890E-04 -5.030E-10  6.907E-09 -1.857E-12 -2.580E-12  1.00E-07
  4.600E+01 4.69303E-17  6.114E-04 -5.816E-10  6.826E-09 -1.880E-12 -2.607E-12  1.00E-07
  4.650E+01 4.59201E-17  6.345E-04 -6.587E-10  6.744E-09 -1.903E-12 -2.633E-12  1.00E-07
  4.700E+01 4.49298E-17  6.580E-04 -7.342E-10  6.663E-09 -1.926E-12 -2.660E-12  1.00E-07
  4.750E+01 4.39591E-17  6.821E-04 -8.081E-10  6.581E-09 -1.948E-12 -2.687E-12  1.00E-07
  4.800E+01 4.30074E-17  7.067E-04 -8.805E-10  6.499E-09 -1.971E-12 -2.713E-12  1.00E-07
  4.850E+01 4.20743E-17  7.319E-04 -9.512E-10  6.416E-09 -1.994E-12 -2.740E-12  1.00E-07
  4.900E+01 4.11594E-17  7.577E-04 -1.020E-09  6.334E-09 -2.016E-12 -2.766E-12  1.00E-07
  4.950E+01 4.02623E-17  7.839E-04 -1.088E-09  6.251E-09 -2.039E-12 -2.792E-12  1.00E-07
  5.000E+01 3.93825E-17  8.108E-04 -1.153E-09  6.169E-09 -2.061E-12 -2.819E-12  1.00E-07
  5.050E+01 3.85196E-17  8.382E-04 -1.217E-09  6.086E-09 -2.083E-12 -2.845E-12  1.00E-07
  5.100E+01 3.76732E-17  8.661E-04 -1.280E-09  6.003E-09 -2.106E-12 -2.871E-12  1.00E-07
  5.150E+01 3.68427E-17  8.946E-04 -1.340E-09  5.920E-09 -2.128E-12 -2.897E-12  1.00E-07
  5.200E+01 3.60279E-17  9.237E-04 -1.399E-09  5.837E-09 -2.150E-12 -2.922E-12  1.00E-07
  5.250E+01 3.52282E-17  9.533E-04 -1.457E-09  5.754E-09 -2.172E-12 -2.948E-12  1.00E-07
  5.300E+01 3.44433E-17  9.835E-04 -1.512E-09  5.671E-09 -2.194E-12 -2.973E-12  1.00E-07
  5.350E+01 3.36727E-17  1.014E-03 -1.566E-09  5.588E-09 -2.216E-12 -2.999E-12  1.00E-07
  5.400E+01 3.29160E-17  1.046E-03 -1.618E-09  5.504E-09 -2.237E-12 -3.024E-12  1.00E-07
  5.450E+01 3.21729E-17  1.077E-03 -1.668E-09  5.421E-09 -2.259E-12 -3.049E-12  1.00E-07
  5.500E+01 3.14430E-17  1.110E-03 -1.717E-09  5.338E-09 -2.280E-12 -3.074E-12  1.00E-07
  5.550E+01 3.07258E-17  1.143E-03 -1.764E-09  5.255E-09 -2.302E-12 -3.099E-12  1.00E-07
  5.600E+01 3.00209E-17  1.177E-03 -1.809E-09  5.172E-09 -2.323E-12 -3.124E-12  1.00E-07
  5.650E+01 2.93282E-17  1.211E-03 -1.852E-09  5.089E-09 -2.344E-12 -3.149E-12  1.00E-07
  5.700E+01 2.86471E-17  1.246E-03 -1.893E-09  5.006E-09 -2.365E-12 -3.173E-12  1.00E-07
  5.750E+01 2.79773E-17  1.282E-03 -1.933E-09  4.923E-09 -2.386E-12 -3.197E-12  1.00E-07
  5.800E+01 2.73186E-17  1.318E-03 -1.971E-09  4.841E-09 -2.406E-12 -3.222E-12  1.00E-07
  5.850E+01 2.66705E-17  1.355E-03 -2.007E-09  4.758E-09 -2.427E-12 -3.246E-12  1.00E-07
  5.900E+01 2.60328E-17  1.392E-03 -2.042E-09  4.676E-09 -2.447E-12 -3.270E-12  1.00E-07
  5.950E+01 2.54052E-17  1.430E-03 -2.075E-09  4.594E-09 -2.467E-12 -3.293E-12  1.00E-07
  6.000E+01 2.47874E-17  1.469E-03 -2.106E-09  4.511E-09 -2.487E-12 -3.317E-12  1.00E-07
  6.050E+01 2.41792E-17  1.509E-03 -2.135E-09  4.430E-09 -2.507E-12 -3.340E-12  1.00E-07
  6.100E+01 2.35802E-17  1.549E-03 -2.163E-09  4.348E-09 -2.527E-12 -3.364E-12  1.00E-07
  6.150E+01 2.29902E-17  1.590E-03 -2.188E-09  4.266E-09 -2.546E-12 -3.387E-12  1.00E-07
  6.200E+01 2.24090E-17  1.632E-03 -2.213E-09  4.185E-09 -2.566E-12 -3.410E-12  1.00E-07
  6.250E+01 2.18363E-17  1.674E-03 -2.235E-09  4.104E-09 -2.585E-12 -3.432E-12  1.00E-07
  6.300E+01 2.12720E-17  1.718E-03 -2.256E-09  4.023E-09 -2.604E-12 -3.455E-12  1.00E-07
  6.350E+01 2.07158E-17  1.762E-03 -2.274E-09  3.942E-09 -2.623E-12 -3.477E-12  1.00E-07
  6.400E+01 2.01675E-17  1.807E-03 -2.292E-09  3.862E-09 -2.642E-12 -3.499E-12  1.00E-07
  6.450E+01 1.96271E-17  1.853E-03 -2.307E-09  3.782E-09 -2.660E-12 -3.521E-12  1.00E-07
  6.500E+01 1.90942E-17  1.900E-03 -2.321E-09  3.702E-09 -2.678E-12 -3.543E-12  1.00E-07
  6.550E+01 1.85688E-17  1.948E-03 -2.333E-09  3.623E-09 -2.696E-12 -3.565E-12  1.00E-07
  6.600E+01 1.80507E-17  1.997E-03 -2.344E-09  3.544E-09 -2.714E-12 -3.586E-12  1.00E-07
  6.650E+01 1.75399E-17  2.047E-03 -2.353E-09  3.465E-09 -2.732E-12 -3.608E-12  1.00E-07
  6.700E+01 1.70360E-17  2.098E-03 -2.360E-09  3.386E-09 -2.749E-12 -3.629E-12  1.00E-07
  6.750E+01 1.65392E-17  2.151E-03 -2.366E-09  3.308E-09 -2.767E-12 -3.649E-12  1.00E-07
  6.800E+01 1.60492E-17  2.204E-03 -2.370E-09  3.230E-09 -2.784E-12 -3.670E-12  1.00E-07
  6.850E+01 1.55660E-17  2.259E-03 -2.372E-09  3.153E-09 -2.801E-12 -3.690E-12  1.00E-07
  6.900E+01 1.50896E-17  2.315E-03 -2.373E-09  3.076E-09 -2.817E-12 -3.711E-12  1.00E-07
  6.950E+01 1.46197E-17  2.373E-03 -2.372E-09  2.999E-09 -2.834E-12 -3.731E-12  1.00E-07
  7.000E+01 1.41565E-17  2.432E-03 -2.370E-09  2.923E-09 -2.850E-12 -3.750E-12  1.00E-07
  7.050E+01 1.36998E-17  2.493E-03 -2.366E-09  2.847E-09 -2.866E-12 -3.770E-12  1.00E-07
  7.100E+01 1.32497E-17  2.555E-03 -2.360E-09  2.771E-09 -2.882E-12 -3.789E-12  1.00E-07
  7.150E+01 1.28061E-17  2.619E-03 -2.353E-09  2.696E-09 -2.897E-12 -3.808E-12  1.00E-07
  7.200E+01 1.23689E-17  2.685E-03 -2.345E-09  2.621E-09 -2.912E-12 -3.827E-12  1.00E-07
  7.250E+01 1.19383E-17  2.753E-03 -2.335E-09  2.547E-09 -2.927E-12 -3.846E-12  1.00E-07
  7.300E+01 1.15141E-17  2.823E-03 -2.323E-09  2.473E-09 -2.942E-12 -3.864E-12  1.00E-07
  7.350E+01 1.10964E-17  2.895E-03 -2.310E-09  2.400E-09 -2.957E-12 -3.882E-12  1.00E-07
  7.400E+01 1.06853E-17  2.970E-03 -2.296E-09  2.327E-09 -2.971E-12 -3.900E-12  1.00E-07
  7.450E+01 1.02807E-17  3.047E-03 -2.280E-09  2.255E-09 -2.985E-12 -3.917E-12  1.00E-07
  7.500E+01 9.88266E-18  3.126E-03 -2.262E-09  2.183E-09 -2.999E-12 -3.935E-12  1.00E-07
  7.550E+01 9.49128E-18  3.208E-03 -2.243E-09  2.111E-09 -3.012E-12 -3.952E-12  1.00E-07
  7.600E+01 9.10659E-18  3.294E-03 -2.223E-09  2.040E-09 -3.026E-12 -3.969E-12  1.00E-07
  7.650E+01 8.72863E-18  3.382E-03 -2.202E-09  1.970E-09 -3.039E-12 -3.985E-12  1.00E-07
  7.700E+01 8.35748E-18  3.474E-03 -2.179E-09  1.900E-09 -3.051E-12 -4.001E-12  1.00E-07
  7.750E+01 7.99320E-18  3.569E-03 -2.154E-09  1.831E-09 -3.064E-12 -4.017E-12  1.00E-07
  7.800E+01 7.63587E-18  3.668E-03 -2.129E-09  1.762E-09 -3.076E-12 -4.033E-12  1.00E-07
  7.850E+01 7.28557E-18  3.772E-03 -2.102E-09  1.693E-09 -3.088E-12 -4.049E-12  1.00E-07
  7.900E+01 6.94239E-18  3.879E-03 -2.074E-09  1.626E-09 -3.100E-12 -4.064E-12  1.00E-07
