    
 E (eV)=   240.000000000000     
       0     -6.63109847E-01      0.00000000E+00
       1      1.33004850E+00      1.33121659E+00
       2      7.58633838E-01      7.58933642E-01
       3      4.58304817E-01      4.58439983E-01
       4      2.81108621E-01      2.81182400E-01
       5      1.73517628E-01      1.73560549E-01
       6      1.07720286E-01      1.07745968E-01
       7      6.72582627E-02      6.72738907E-02
       8      4.22243877E-02      4.22340114E-02
       9      2.66410796E-02      2.66470599E-02
      10      1.68850337E-02      1.68887769E-02
      11      1.07453769E-02      1.07477338E-02
      12      6.86344786E-03      6.86493937E-03
      13      4.39862272E-03      4.39957075E-03
      14      2.82757809E-03      2.82818301E-03
      15      1.82271564E-03      1.82310298E-03
      16      1.17793828E-03      1.17818708E-03
      17      7.63003027E-04      7.63163295E-04
      18      4.95264893E-04      4.95368401E-04
      19      3.22084456E-04      3.22151465E-04
      20      2.09817581E-04      2.09861055E-04
      21      1.36892048E-04      1.36920307E-04
      22      8.94351942E-05      8.94535960E-05
      23      5.85015628E-05      5.85135645E-05
      24      3.83085129E-05      3.83163515E-05
      25      2.51094368E-05      2.51145628E-05
      26      1.64718498E-05      1.64752057E-05
      27      1.08134925E-05      1.08156917E-05
      28      7.10340626E-06      7.10484868E-06
      29      4.66882217E-06      4.66976896E-06
      30      3.07011583E-06      3.07073770E-06
      31      2.01966447E-06      2.02007316E-06
      32      1.32908951E-06      1.32935823E-06
      33      8.74895486E-07      8.75072249E-07
      34      5.76055377E-07      5.76171698E-07
      35      3.79367354E-07      3.79443922E-07
      36      2.49877356E-07      2.49927770E-07
      37      1.64607981E-07      1.64641178E-07
      38      1.08447477E-07      1.08469342E-07
      39      7.14530839E-08      7.14674906E-08
      40      4.70810406E-08      4.70905297E-08
      41      3.10232353E-08      3.10294883E-08
      42      2.04426043E-08      2.04467270E-08
      43      1.34705583E-08      1.34732711E-08
      44      8.87624443E-09      8.87803370E-09
      45      5.84879481E-09      5.84997441E-09
      46      3.85381986E-09      3.85459546E-09
      47      2.53915874E-09      2.53966874E-09
      48      1.67286869E-09      1.67320666E-09
      49      1.10211066E-09      1.10233462E-09
      50      7.26046565E-10      7.26195846E-10
      51      4.78280943E-10      4.78375813E-10

  TOTAL ELASTIC CROSS SECTION = 1.643347E-16 cm**2
               FROM DCS TABLE = 1.643311E-16  (REL. DIF. = 2.20E-05)

  1ST TRANSPORT CROSS SECTION = 3.805546E-17 cm**2
               FROM DCS TABLE = 3.805542E-17  (REL. DIF. = 9.70E-07)

  2ND TRANSPORT CROSS SECTION = 6.100119E-17 cm**2
