 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   8,   projectile: electron
 #  Kinetic energy = 1.74000E+02 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  5.500E-03  2.30367E-09  1.16791E-08  9.58585E-09  1.00559E-19  1.98143E-16
  5.750E-03  2.51785E-09  1.16791E-08  9.58585E-09  1.05129E-19  2.07150E-16
  6.000E-03  2.74156E-09  1.16791E-08  9.58585E-09  1.09699E-19  2.16156E-16
  6.250E-03  2.97478E-09  1.16791E-08  9.58585E-09  1.14268E-19  2.25163E-16
  6.500E-03  3.21752E-09  1.16791E-08  9.58585E-09  1.18838E-19  2.34169E-16
  6.750E-03  3.46978E-09  1.16791E-08  9.58585E-09  1.23407E-19  2.43176E-16
  7.000E-03  3.73156E-09  1.16791E-08  9.58585E-09  1.27976E-19  2.52182E-16
  7.250E-03  4.00286E-09  1.16791E-08  9.58585E-09  1.32545E-19  2.61189E-16
  7.500E-03  4.28368E-09  1.16791E-08  9.58585E-09  1.37114E-19  2.70195E-16
  7.750E-03  4.57402E-09  1.16791E-08  9.58585E-09  1.41683E-19  2.79202E-16
  8.000E-03  4.87388E-09  1.16791E-08  9.58585E-09  1.46251E-19  2.88208E-16
  8.250E-03  5.18326E-09  1.16791E-08  9.58585E-09  1.50819E-19  2.97215E-16
  8.500E-03  5.50215E-09  1.16791E-08  9.58585E-09  1.55388E-19  3.06222E-16
  8.750E-03  5.83057E-09  1.16791E-08  9.58585E-09  1.59955E-19  3.15228E-16
  9.000E-03  6.16850E-09  1.16791E-08  9.58585E-09  1.64523E-19  3.24235E-16
  9.250E-03  6.51596E-09  1.16791E-08  9.58585E-09  1.69091E-19  3.33241E-16
  9.500E-03  6.87293E-09  1.16791E-08  9.58585E-09  1.73658E-19  3.42248E-16
  9.750E-03  7.23942E-09  1.16791E-08  9.58585E-09  1.78225E-19  3.51254E-16
  1.000E-02  7.61544E-09  1.16791E-08  9.58585E-09  1.82792E-19  3.60261E-16
  1.250E-02  1.18991E-08  1.16791E-08  9.58585E-09  2.28446E-19  4.50326E-16
  1.500E-02  1.71347E-08  1.16791E-08  9.58585E-09  2.74072E-19  5.40391E-16
  1.750E-02  2.33223E-08  1.16791E-08  9.58585E-09  3.19663E-19  6.30456E-16
  2.000E-02  3.04617E-08  1.16791E-08  9.58585E-09  3.65213E-19  7.20521E-16
  2.250E-02  3.85531E-08  1.16791E-08  9.58585E-09  4.10717E-19  8.10586E-16
  2.500E-02  4.75965E-08  1.16791E-08  9.58585E-09  4.56168E-19  9.00651E-16
  2.750E-02  5.75917E-08  1.16791E-08  9.58585E-09  5.01562E-19  9.90716E-16
  3.000E-02  6.85389E-08  1.16791E-08  9.58585E-09  5.46892E-19  1.08078E-15
