2.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.400000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000355e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.400000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.400000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 -3.993553043158710736e+00 3.828747115893854414e+00
5.200000000000000000e+01 -3.457447365298413455e+00 3.802076201067872585e+00
5.400000000000000000e+01 -2.857456653509239164e+00 3.888764760385432506e+00
5.600000000000000000e+01 -2.237376009496259588e+00 4.040215165167541755e+00
5.799999999999999289e+01 -1.631157904931514580e+00 4.218164376005246297e+00
6.000000000000000711e+01 -1.063785738659391411e+00 4.393773519612270917e+00
6.200000000000000000e+01 -5.523917778997199379e-01 4.546357020459387499e+00
6.400000000000000000e+01 -1.075237554337221541e-01 4.662272689898143696e+00
6.600000000000000000e+01 2.656700068169829398e-01 4.733531184028791472e+00
6.800000000000000000e+01 5.662772669817573989e-01 4.756658858320741423e+00
7.000000000000000000e+01 7.966009607787450930e-01 4.731686852331749904e+00
7.200000000000000000e+01 9.612639296068893335e-01 4.661184966251525452e+00
7.400000000000000000e+01 1.066448803069116380e+00 4.549479515532411256e+00
7.600000000000000000e+01 1.119289071692484372e+00 4.402067198238239776e+00
7.800000000000000000e+01 1.127345831502435169e+00 4.224992595305937293e+00
8.000000000000000000e+01 1.098241871852250418e+00 4.024537856918319889e+00
8.200000000000000000e+01 1.039362727485413362e+00 3.806879778486508492e+00
8.400000000000000000e+01 9.576419601182187824e-01 3.577853789840102383e+00
8.600000000000000000e+01 8.594249327522388571e-01 3.342817259797486340e+00
8.800000000000000000e+01 7.503812519932031577e-01 3.106550187791887296e+00
9.000000000000000000e+01 6.354600160057622960e-01 2.873188233610489029e+00
9.200000000000000000e+01 5.188871266301472440e-01 2.646235720041226092e+00
9.400000000000000000e+01 4.041763843073427065e-01 2.428542088096738105e+00
9.600000000000000000e+01 2.941694108054452861e-01 2.222350520784158956e+00
9.800000000000000000e+01 1.910845003946775866e-01 2.029330325521059297e+00
1.000000000000000000e+02 9.657386869700937404e-02 1.850635598135213833e+00
1.020000000000000000e+02 1.178718291551041075e-02 1.686972445196130321e+00
1.040000000000000000e+02 -6.256944371562078722e-02 1.538640952882352808e+00
1.060000000000000000e+02 -1.261674558465462059e-01 1.405592282211453714e+00
1.080000000000000000e+02 -1.789963233986575086e-01 1.287493505019804862e+00
