 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.88000E+02 eV = 1.05838E+01 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: point charge
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file z_008.den   
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.29484E-16 cm**2 = 4.62397E+00 a0**2
 # 1st transport cross section = 4.06869E-17 cm**2 = 1.45295E+00 a0**2
 # 2nd transport cross section = 5.75416E-17 cm**2 = 2.05485E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.51828E-16  8.99293E+00  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.51828E-16  8.99293E+00  3.93760E-10  1.0E-07
  1.250E-04  1.18994E-12  2.51828E-16  8.99293E+00  4.92200E-10  1.0E-07
  1.500E-04  1.71346E-12  2.51828E-16  8.99293E+00  5.90640E-10  1.0E-07
  1.750E-04  2.33225E-12  2.51828E-16  8.99293E+00  6.89080E-10  1.0E-07
  2.000E-04  3.04617E-12  2.51828E-16  8.99293E+00  7.87520E-10  1.0E-07
  2.250E-04  3.85530E-12  2.51828E-16  8.99293E+00  8.85960E-10  1.0E-07
  2.500E-04  4.75964E-12  2.51828E-16  8.99293E+00  9.84400E-10  1.0E-07
  2.750E-04  5.75917E-12  2.51828E-16  8.99293E+00  1.08284E-09  1.0E-07
  3.000E-04  6.85391E-12  2.51828E-16  8.99293E+00  1.18128E-09  1.0E-07
  3.250E-04  8.04379E-12  2.51828E-16  8.99293E+00  1.27972E-09  1.0E-07
  3.500E-04  9.32893E-12  2.51828E-16  8.99293E+00  1.37816E-09  1.0E-07
  3.750E-04  1.07092E-11  2.51828E-16  8.99293E+00  1.47660E-09  1.0E-07
  4.000E-04  1.21847E-11  2.51828E-16  8.99293E+00  1.57504E-09  1.0E-07
  4.250E-04  1.37554E-11  2.51828E-16  8.99293E+00  1.67348E-09  1.0E-07
  4.500E-04  1.54213E-11  2.51828E-16  8.99293E+00  1.77192E-09  1.0E-07
  4.750E-04  1.71823E-11  2.51828E-16  8.99293E+00  1.87036E-09  1.0E-07
  5.000E-04  1.90386E-11  2.51828E-16  8.99293E+00  1.96880E-09  1.0E-07
