    
 E (eV)=   166.000000000000     
       0     -4.23449232E-01      0.00000000E+00
       1      1.42006020E+00      1.42115781E+00
       2      7.49322805E-01      7.49570658E-01
       3      4.11982376E-01      4.12083753E-01
       4      2.29167326E-01      2.29217361E-01
       5      1.28713670E-01      1.28740057E-01
       6      7.30068961E-02      7.30212885E-02
       7      4.17813137E-02      4.17893332E-02
       8      2.40963195E-02      2.41008549E-02
       9      1.39890186E-02      1.39916118E-02
      10      8.16765986E-03      8.16915523E-03
      11      4.79254933E-03      4.79341760E-03
      12      2.82447159E-03      2.82497867E-03
      13      1.67106483E-03      1.67136245E-03
      14      9.92080365E-04      9.92255806E-04
      15      5.90786031E-04      5.90889851E-04
      16      3.52769880E-04      3.52831529E-04
      17      2.11150475E-04      2.11187194E-04
      18      1.26650004E-04      1.26671934E-04
      19      7.61053913E-05      7.61185193E-05
      20      4.58055271E-05      4.58134025E-05
      21      2.76069241E-05      2.76116571E-05
      22      1.66583130E-05      1.66611620E-05
      23      1.00619296E-05      1.00636469E-05
      24      6.08277537E-06      6.08381171E-06
      25      3.67987828E-06      3.68050431E-06
      26      2.22753474E-06      2.22791323E-06
      27      1.34905477E-06      1.34928376E-06
      28      8.17352483E-07      8.17491111E-07
      29      4.95370156E-07      4.95454119E-07
      30      3.00304166E-07      3.00355038E-07
      31      1.82086871E-07      1.82117705E-07
      32      1.10423162E-07      1.10441857E-07
      33      6.69710227E-08      6.69823555E-08
      34      4.06203236E-08      4.06271975E-08
      35      2.46385728E-08      2.46427443E-08
      36      1.49449142E-08      1.49474450E-08
      37      9.06493840E-09      9.06647610E-09
      38      5.49818243E-09      5.49911444E-09
      39      3.33469251E-09      3.33525863E-09
      40      2.02242381E-09      2.02276492E-09
      41      1.22642316E-09      1.22662824E-09
      42      7.43661696E-10      7.43783772E-10
      43      4.50853741E-10      4.50930474E-10

  TOTAL ELASTIC CROSS SECTION = 2.105525E-16 cm**2
               FROM DCS TABLE = 2.105483E-16  (REL. DIF. = 1.98E-05)

  1ST TRANSPORT CROSS SECTION = 6.462799E-17 cm**2
               FROM DCS TABLE = 6.462802E-17  (REL. DIF. = 4.01E-07)

  2ND TRANSPORT CROSS SECTION = 9.200669E-17 cm**2
